in s,C1 in V
-2.9999923E+00,-5.61523E-03
-2.9999462E+00,-4.15039E-03
-2.9999002E+00,-2.68555E-03
-2.9998541E+00,-3.66211E-03
-2.9998080E+00,-3.66211E-03
-2.9997619E+00,-3.17383E-03
-2.9997158E+00,-5.61523E-03
-2.9996698E+00,-4.63867E-03
-2.9996237E+00,-4.15039E-03
-2.9995776E+00,-5.12695E-03
-2.9995315E+00,-5.61523E-03
-2.9994854E+00,-1.04980E-02
-2.9994394E+00,-7.08008E-03
-2.9993933E+00,-6.10352E-03
-2.9993472E+00,-5.12695E-03
-2.9993011E+00,-1.24512E-02
-2.9992550E+00,-7.08008E-03
-2.9992090E+00,-3.66211E-03
-2.9991629E+00,-6.59180E-03
-2.9991168E+00,-6.59180E-03
-2.9990707E+00,-5.61523E-03
-2.9990246E+00,-5.12695E-03
-2.9989786E+00,-3.66211E-03
-2.9989325E+00,-5.12695E-03
-2.9988864E+00,-6.10352E-03
-2.9988403E+00,-4.15039E-03
-2.9987942E+00,-2.44141E-04
-2.9987482E+00,-6.59180E-03
-2.9987021E+00,-5.12695E-03
-2.9986560E+00,-4.63867E-03
-2.9986099E+00,-7.08008E-03
-2.9985638E+00,-5.61523E-03
-2.9985178E+00,-5.61523E-03
-2.9984717E+00,-7.56836E-03
-2.9984256E+00,-5.61523E-03
-2.9983795E+00,-4.15039E-03
-2.9983334E+00,-5.12695E-03
-2.9982874E+00,-5.61523E-03
-2.9982413E+00,-5.12695E-03
-2.9981952E+00,-3.66211E-03
-2.9981491E+00,-4.63867E-03
-2.9981030E+00,-5.12695E-03
-2.9980570E+00,-5.12695E-03
-2.9980109E+00,3.66211E-03
-2.9979648E+00,-5.61523E-03
-2.9979187E+00,-7.56836E-03
-2.9978726E+00,-5.61523E-03
-2.9978266E+00,-5.61523E-03
-2.9977805E+00,-5.61523E-03
-2.9977344E+00,-7.08008E-03
-2.9976883E+00,-5.12695E-03
-2.9976422E+00,-5.61523E-03
-2.9975962E+00,-6.10352E-03
-2.9975501E+00,-7.08008E-03
-2.9975040E+00,-6.59180E-03
-2.9974579E+00,-5.12695E-03
-2.9974118E+00,-5.12695E-03
-2.9973658E+00,-5.12695E-03
-2.9973197E+00,-3.17383E-03
-2.9972736E+00,-4.15039E-03
-2.9972275E+00,-5.61523E-03
-2.9971814E+00,-3.66211E-03
-2.9971354E+00,-5.12695E-03
-2.9970893E+00,-5.61523E-03
-2.9970432E+00,-5.12695E-03
-2.9969971E+00,-3.17383E-03
-2.9969510E+00,-8.05664E-03
-2.9969050E+00,-5.61523E-03
-2.9968589E+00,-4.63867E-03
-2.9968128E+00,-2.19727E-03
-2.9967667E+00,-5.61523E-03
-2.9967206E+00,-2.19727E-03
-2.9966746E+00,-4.63867E-03
-2.9966285E+00,-3.66211E-03
-2.9965824E+00,-2.68555E-03
-2.9965363E+00,-3.66211E-03
-2.9964902E+00,-5.61523E-03
-2.9964442E+00,-1.19629E-02
-2.9963981E+00,-5.61523E-03
-2.9963520E+00,-4.15039E-03
-2.9963059E+00,-8.05664E-03
-2.9962598E+00,-1.22070E-03
-2.9962138E+00,-3.17383E-03
-2.9961677E+00,-3.66211E-03
-2.9961216E+00,-2.68555E-03
-2.9960755E+00,-9.03320E-03
-2.9960294E+00,-7.08008E-03
-2.9959834E+00,-6.10352E-03
-2.9959373E+00,-3.66211E-03
-2.9958912E+00,-6.10352E-03
-2.9958451E+00,-5.12695E-03
-2.9957990E+00,-5.61523E-03
-2.9957530E+00,-5.61523E-03
-2.9957069E+00,-5.12695E-03
-2.9956608E+00,-6.59180E-03
-2.9956147E+00,-3.66211E-03
-2.9955686E+00,-7.08008E-03
-2.9955226E+00,-7.08008E-03
-2.9954765E+00,-5.12695E-03
-2.9954304E+00,-4.63867E-03
-2.9953843E+00,-5.61523E-03
-2.9953382E+00,-5.12695E-03
-2.9952922E+00,-3.66211E-03
-2.9952461E+00,-5.61523E-03
-2.9952000E+00,-4.15039E-03
-2.9951539E+00,-3.17383E-03
-2.9951078E+00,-4.15039E-03
-2.9950618E+00,-4.63867E-03
-2.9950157E+00,-5.61523E-03
-2.9949696E+00,-4.63867E-03
-2.9949235E+00,-4.63867E-03
-2.9948774E+00,-3.66211E-03
-2.9948314E+00,-4.63867E-03
-2.9947853E+00,-4.15039E-03
-2.9947392E+00,-5.12695E-03
-2.9946931E+00,-4.63867E-03
-2.9946470E+00,-5.12695E-03
-2.9946010E+00,-4.15039E-03
-2.9945549E+00,-5.61523E-03
-2.9945088E+00,-4.63867E-03
-2.9944627E+00,-5.12695E-03
-2.9944166E+00,-6.10352E-03
-2.9943706E+00,-3.17383E-03
-2.9943245E+00,-4.63867E-03
-2.9942784E+00,-5.61523E-03
-2.9942323E+00,-4.63867E-03
-2.9941862E+00,-4.15039E-03
-2.9941402E+00,-5.61523E-03
-2.9940941E+00,-3.17383E-03
-2.9940480E+00,-3.66211E-03
-2.9940019E+00,-5.12695E-03
-2.9939558E+00,-4.15039E-03
-2.9939098E+00,-7.32422E-04
